pod,9/23,9/28,9/30,10/5,10/14,10/19
isfw1,6,8,13,17,17,15
isfw2,3,4,10,12,18,8
isfw3,10,13,17,17,17,24
isfw4,5,6,14,19,19,24
isw1,3,6,12,18,32,27
isw2,0,4,3,6,10,13
isw3,19,19,25,28,17,18
isw4,4,6,8,10,12,19
ssfw1,12,12,29,30,30,39
ssfw2,14,16,25,30,30,30
ssfw3,9,15,24,32,32,44
ssfw4,7,9,15,17,15,28
ssw1,11,11,25,25,27,15
ssw2,17,19,40,51,46,40
ssw3,6,6,14,15,16,15
ssw4,10,15,34,38,38,45
