treatment,average_leaf_number,root_weight,shoot_weight,root_shoot_ratio,total_dry_weight,total_fresh_weight,water_weight,plant_moisture_content
Control 1,4.2,4.99,1.75,2.851428571,30.1,22.26,7.84,2.839285714
Control 2,4.6,2.02,1.45,1.393103448,21.01,16.29,4.72,3.451271186
Control 3,4,1.33,1.11,1.198198198,13.55,10.46,3.09,3.385113269
Medium Drought 1,4,7.74,1.64,4.719512195,27.18,16.18,11,1.470909091
Medium Drought 2,4,2.52,1.33,1.894736842,12.09,7.13,4.96,1.4375
Medium Drought 3,3.4,3.03,2.31,1.311688312,18.63,12.62,6.01,2.099833611
Drought 1,3.4,6.1,2,3.05,19.22,9.93,9.29,1.068891281
Drought 2,3.4,3.97,1.4,2.835714286,6.95,0.79,6.16,0.1282467532
Drought 3,4,3,1.46,2.054794521,6.72,0.77,5.95,0.1294117647
